英文名,引用数,谷歌学术,个人主页,推特handel,linkedin
Gail Carpenter,27464,DBsQtuAAAAAJ,,,https://www.linkedin.com/in/gail-carpenter-14702b37/
Peter Schröder,26892,t3TgxNwAAAAJ,,,https://www.linkedin.com/in/peters11
Paolo Frasconi,26716,s3l225EAAAAJ,http://www.dsi.unifi.it/~paolo/,,
James Kuffner,26562,1NyT9gQAAAAJ,,james_kuffner,https://www.linkedin.com/today/author/kuffner
Leif Kobbelt,26388,eCsqoJgAAAAJ,,,https://de.linkedin.com/in/leif-kobbelt-99046560
Donald C Wunsch II,26131,fQC7bIoAAAAJ,https://people.mst.edu/faculty/dwunsch/,,https://www.linkedin.com/in/wunsch/
Arie Kaufman,26117,fDdcWBEAAAAJ,,ArikKaufman,https://www.linkedin.com/in/arie-kaufman-105096136
Ce Liu,26069,j7MW4iYAAAAJ,,,https://www.linkedin.com/in/ce-liu-5697501a
Thomas Vetter,25825,HKLgZpYAAAAJ,,,
Kenji Doya,25770,SHufeXQAAAAJ,https://groups.oist.jp/ncu,,https://www.linkedin.com/in/kenji-doya-198453147/?originalSubdomain=jp
Shi-Min Hu,25695,LDb4tb0AAAAJ,,,https://www.linkedin.com/posts/tsinghua-university_tsinghuaren-activity-6656062868129181696-lmrg?trk=public_profile_like_view
Simon J. Thorpe,25356,uR-7ex4AAAAJ,https://cerco.cnrs.fr/page-perso-simon-thorpe/,simonjthorpe,
Kwan-Liu Ma,25329,LgL2HpkAAAAJ,,KwanliuMa,https://www.linkedin.com/in/kma01
James Foley,25273,GmcChLIAAAAJ,,,
Richard Zhang,25241,LW8ze_UAAAAJ,,rzhang88,https://www.linkedin.com/in/richard-zhang-ai
Irfan Essa,24811,XM97iScAAAAJ,,irrfaan,https://www.linkedin.com/in/irfanessa/
Alexis Conneau,24720,45KfCpgAAAAJ,,alex_conneau,
Kensaku Mori,24707,o0tylKsAAAAJ,,,https://jp.linkedin.com/in/kensaku-mori-82160a5a
Przemyslaw Prusinkiewicz,24628,pjH7e8IAAAAJ,,,https://ca.linkedin.com/in/przemyslaw-prusinkiewicz-2443804
Maoguo Gong （公茂果）,24362,D-TS1fAAAAAJ,http://see.xidian.edu.cn/faculty/mggong/index.htm,,https://cn.linkedin.com/in/maoguo-gong-382ba4a7
Henry Fuchs,24025,guhwcP8AAAAJ,,,https://www.linkedin.com/in/henry-fuchs-87369911
Junggon Kim,24001,BdRCA9cAAAAJ,,,
Ren Ng,23857,6H0mhLUAAAAJ,,,https://www.linkedin.com/in/renng
Maciej W Majewski,23810,SusRQUIAAAAJ,,,
"Prof. Nikola Kasabov, LFIEEE, FRSNZ, FINNS",23703,YTa9Dz4AAAAJ,https://knowledgeengineering.ai/nikolakasabov,,https://nz.linkedin.com/in/nikola-kasabov-994656231
Zoran Popovic,23692,0Qr2IGwAAAAJ,,,
Norman Badler,23578,e8e5qGcAAAAJ,,,
Greg Turk,23276,Q_4d9N0AAAAJ,,,https://www.linkedin.com/in/greg-t-184a1121a?trk=people-guest_people_search-card
Li Yi,23243,UyZL660AAAAJ,,ericyi0124,
Zheng-Guang Wu,23236,vy6JCNgAAAAJ,,,https://cn.linkedin.com/in/zheng-guang-wu-b3264369?trk=people-guest_people_search-card
Sebastian Nowozin,23191,7-B7aQkAAAAJ,,sebnowozin,
Zhigang Zeng,23189,BrJUTvoAAAAJ,http://aia.hust.edu.cn/zhigangzeng/,,https://cn.linkedin.com/in/zhigang-zeng-5a004939
