name,github,area,personal_page,twitter,linkedin,image,famous_work,link,Company,Job
Xinbing Liang,https://github.com/mannaandpoem,AI Agent,,https://x.com/manna56749964,,https://pbs.twimg.com/profile_images/1893205178909892609/82HSA42G_400x400.jpg,OpenManus,https://github.com/mannaandpoem/OpenManus,Manus,Engineer
Chi Wang,https://github.com/sonichi,AI Agent,,https://x.com/Chi_Wang_,https://www.linkedin.com/in/chi-wang-autogen,https://pbs.twimg.com/profile_images/1709614695198371840/jtHJjNXQ_400x400.jpg,AutoGen,https://github.com/microsoft/autogen,AutoGen ,Founder
Craig Tiller,https://github.com/ctiller,Architecture,,,https://www.linkedin.com/in/craigtiller/,https://avatars.githubusercontent.com/u/10120821?v=4,gRPC,https://github.com/grpc/grpc,Google,Senior Staff Software Engineer
Zhengxiao Du,https://github.com/duzx16,LLM,https://zxdu.xyz/,,,https://zxdu.xyz/authors/admin/avatar_hu7e2cbb0813f9c409aba9226cd1386a71_4073407_270x270_fill_lanczos_center_3.png,ChatGLM,https://github.com/THUDM/ChatGLM-6B,Tsinghua University,PHD
Matei Zaharia,https://github.com/mateiz,Large-Scale Data Processing,https://people.eecs.berkeley.edu/~matei/,https://x.com/matei_zaharia,https://www.linkedin.com/in/mateizaharia/,https://cs.stanford.edu/~matei/matei.jpg,Spark,https://github.com/apache/spark,UC Berkeley,Associate Professor
Jacob Devlin,https://github.com/jacobdevlin-google,LLM,,,https://www.linkedin.com/in/jacob-devlin-135ab048,https://avatars.githubusercontent.com/u/44483550?v=4,Bert,https://github.com/google-research/bert,Google,Software Engineer
Thiago Teixeira,https://github.com/tvst,User Experience,https://thiagot.com/,https://x.com/ThiagoTDotCom,https://www.linkedin.com/in/thiagotdotcom,https://avatars.githubusercontent.com/u/690814?v=4,Streamlit,https://github.com/streamlit/streamlit,Snowflake,Director of Product Management 
Ed Huang,https://github.com/c4pt0r,Database,https://0xffff.me/,https://x.com/dxhuang,https://www.linkedin.com/in/eddxhuang,https://image.itmedia.co.jp/ait/articles/2202/24/ait_220224_tidb.png,Tidb,https://github.com/pingcap/tidb,PingCAP,CTO
Bram Moolenaar,https://github.com/brammool,Text Editor,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQCWLO5li5HB5-jUWZUveT8TjIKGZ78FYUuA&s,Vim,https://github.com/vim/vim,Pass Away,Pass Away
Jeff Rasley,https://github.com/jeffra,Distributed System,https://cs.brown.edu/people/jrasley/,https://x.com/jeffra45,https://www.linkedin.com/in/jeffrasley,https://cs.brown.edu/people/jrasley/jeff_photo_thumb.jpg,DeepSpeed,https://github.com/deepspeedai/DeepSpeed,Snowflake,AI Researcher
Colin McDonnell,https://github.com/colinhacks,TypeScript,https://colinhacks.com/,https://x.com/colinhacks,,https://pbs.twimg.com/profile_images/1580243602684395520/aqyWgB1y_400x400.jpg,Zod,https://github.com/colinhacks/zod,Clerk,OSS Fellow
Xintao Wang,https://github.com/xinntao,AIGC,https://xinntao.github.io/,https://x.com/xinntao,,https://pbs.twimg.com/profile_images/1880842225955049472/paCLAfEW_400x400.jpg,GFPGAN,https://github.com/TencentARC/GFPGAN,Kuaishou,Senior Staff Researcher
Greg Brockman,https://github.com/gdb,Reinforcement Learning,https://gregbrockman.com/,https://x.com/gdb,https://www.linkedin.com/in/thegdb,https://www.gravatar.com/avatar/a8899262a6722e34f543a3209d16f6cd?s=140,Gym,https://github.com/openai/gym,OpenAI,"President, Chairman, & Co-Founder"
Philipp Moritz,https://github.com/pcmoritz,Distributed System,,https://x.com/pcmoritz?lang=en,https://www.linkedin.com/in/philipp-moritz-61419682,https://pbs.twimg.com/profile_images/1688653323870855168/d82Y12Ok_400x400.jpg,Ray,https://github.com/ray-project/ray,AnyScale,CTO
Ô´ÎÄÓê,https://github.com/fumiama,TTS,https://blog.csdn.net/u011570312,https://x.com/MinamotoFumiama,,https://pbs.twimg.com/profile_images/1269844352324579334/QlmDt4hC_400x400.jpg,ChatTTS,https://github.com/2noise/ChatTTS,WASEDA University,Student
Xingang Pan,https://github.com/XingangPan,AIGC,https://xingangpan.github.io/,https://x.com/XingangP,https://www.linkedin.com/in/%E6%96%B0%E9%92%A2-%E6%BD%98-839060a5/,https://xingangpan.github.io/picture/xingangpan.png,DragGAN ,https://github.com/XingangPan/DragGAN,Nanyang Technological University,Assistant Professor
Nicolas Camara,https://github.com/nickscamara,Frontend,https://www.firecrawl.dev/,https://x.com/nickscamara_,,https://pbs.twimg.com/profile_images/1599993355089465344/R6Al_s_H_400x400.jpg,Firecrawl,https://github.com/mendableai/firecrawl,Firecrawl ,Founder
Nicolas De loof,https://github.com/ndeloof,Server,https://blog.loof.fr/,https://x.com/ndeloof,https://www.linkedin.com/in/ndeloof,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCHSrU2bB2icp_UaIVK1l7ebWvosp23oIssQ&s,Docker,https://github.com/docker/compose,Docker,Staff Software Engineer
Matthijs Douze,https://github.com/mdouze,AI Infra,https://ai.meta.com/people/804301491840160/matthijs-douze/,https://x.com/DouzeMatthijs,https://www.linkedin.com/in/matthijs-douze-750980177,https://scontent-itm1-1.xx.fbcdn.net/v/t39.35477-6/433879927_446072361186162_4005046883697465438_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=e280be&_nc_ohc=bm9mAd08nSEQ7kNvwEz6hv1&_nc_oc=AdkiLylNwtLK_Nk9BQD7BG4Gim75FdtANpF1GUEKDpNOknl046RAsJFKqBf3nyvSICQ&_nc_zt=14&_nc_ht=scontent-itm1-1.xx&_nc_gid=UyCWkhIdekyvsPyTfgdLZQ&oh=00_AfEKHW4I0Fi-ovgaiNpYXoVefECouHChFfuKyDcrd1N2ZQ&oe=680126F3,Faiss,https://github.com/facebookresearch/faiss,Meta,Research Scientist
Andy Sun,https://github.com/fxsjy,NLP,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSL64mCRKZphpZnuVffqtYeYfjW7JokWLRFuw&s,Jieba,https://github.com/fxsjy/jieba,Web3 Company,Developer
Trustin Lee,https://github.com/trustin,Network,https://t.motd.kr/,https://x.com/trustin,https://www.linkedin.com/in/trustin,https://avatars.githubusercontent.com/u/173918?v=4,netty,https://github.com/netty/netty,Line,Software Engineer
Asim Shrestha,https://github.com/asim-shrestha,Web,https://asim-shrestha.com/,https://x.com/asimdotshrestha,,https://avatars.githubusercontent.com/u/50181239?v=4,AgentGPT,https://github.com/reworkd/AgentGPT,Reworkd,Co-founder
Lyumin Zhang,https://github.com/lllyasviel,AIGC,https://lllyasviel.github.io/,https://x.com/lvminzhang,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHyrRkYEu9tR3NeP3K0nkDg7kLM7xWB7wpqQ&s,ControlNet,https://github.com/lllyasviel/ControlNet,Stanford,PHD
Mengjun Xie,https://github.com/astaxie,Go,,,,"https://tva4.sinaimg.cn/crop.92.10.266.266.180/709827d9jw8ezx11051d9j20dc08wwer.jpg?KID=imgbed,tva&Expires=1744535788&ssig=LxbECCagEQ",beego,https://github.com/beego/beego,jimengIO,Software Engineer
Peter Hawkins,https://github.com/hawkinsp,AI Infra,https://theory.stanford.edu/~hawkinsp/,,,https://theory.stanford.edu/~hawkinsp/peter.jpg,Jax,https://github.com/jax-ml/jax,Google,Software Engineer
Yuxin Wu,https://github.com/ppwwyyxx,AI,https://ppwwyyxx.com/,https://x.com/ppwwyyxx,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYiNfTxZOgYqVUULO0sDsOnAVlQl8R7Dh4Ww&s,Detectron2 ,https://github.com/facebookresearch/detectron2,Moonshot AI,Co-founder
Rico Sta. Cruz,https://github.com/rstacruz,Frontend,https://ricostacruz.com/,https://x.com/rstacruz,,https://avatars.githubusercontent.com/u/74385?v=4,pnpm,https://github.com/pnpm/pnpm,SEEK,Software Engineer
Zengyi Qin,https://github.com/Zengyi-Qin,Audio,https://www.qinzy.tech/,https://x.com/mitqinzy,,https://avatars.githubusercontent.com/u/40556743?v=4,OpenVoice,https://github.com/myshell-ai/OpenVoice,Myshell,Co-founder
